GDPchange,FBgdp,GDPcapita,CABgdp,DEBTgdp,GOVeff,inflation,openness,rating
15.5,1.6,13912,38.8,31.7,0.15,9.1,107,10
18.1,0.2,16326,23.9,28.4,0.22,7.6,96.2,10
28,1.8,20939,30.5,23.4,0.18,14.5,100.7,10
-29.1,-5,14713,8.3,38.4,0.3,1.3,84.2,10
6.9,-2.2,15546,20,38.9,0.25,13.4,85.8,10
8.2,-2.7,17452,11.2,36,0.31,5.3,104,10
7.5,-5.4,2790,-2.7,55.6,0.55,4.4,82.4,9
9.8,-5.2,3140,-1.4,54.3,0.48,1.2,86.9,9
7.8,-5.4,3218,-0.9,52.9,0.42,3.9,90.3,9
9.3,-5,3394,-1.8,49,0.58,3.3,93.9,9
8.8,-5.1,3798,-2.4,46.3,0.48,5.1,104.3,9
10.8,-3.1,4331,-3.8,43.8,0.34,4.1,114.7,9
6.4,-3,4162,-2.8,43.3,0.35,4.1,93.2,9
7.9,-1.1,4194,-4.8,40.8,0.19,4,102.8,9
2,-3.9,4297,-7.4,44.8,0.02,4.9,103.5,8
29.8,-8,4568,-2.5,67.7,0.04,18.4,47,4
22.9,-4.4,5833,-3.7,59.6,0.04,9.4,49.7,4
16.1,-0.7,7088,-4.6,52.7,0.16,7.7,47.2,5
16.9,-0.2,7687,-6.1,46.5,0.16,9.7,50.3,5
11.2,-1.6,9246,-5.9,39.9,0.29,8.4,49.8,5
12.7,-2.5,10297,-5.7,40,0.26,10.1,52.2,5
0.2,-5.9,8554,-2.2,46.1,0.34,6.5,47.7,5
15.4,-3.4,10050,-6.4,42.4,0.35,6.4,48,6
18.1,-0.7,10521,-10,39.3,0.41,10.4,56.6,6
18.4,-0.9,1049,5.8,29.4,-0.58,8.2,112.9,4
29.1,-4.4,1367,10.6,24.7,-0.54,12.3,119.6,4
27.9,-2.3,1829,2.9,17.7,-0.58,10.3,102.1,4
23.3,-1.4,2303,-1.5,14.8,-0.57,11.6,96.1,4
32.5,-2,3069,-3.7,12.3,-0.68,16.6,95.4,4
31.5,-3.2,3891,-7.1,20.5,-0.72,22.3,101.8,4
-3.7,-6.3,2545,-1.5,35.4,-0.82,12.3,94.4,3
18.5,-5.8,2974,-2.2,40.5,-0.78,9.1,104.4,3
20.3,-2.8,3576,-5.5,36.8,-0.83,4.6,115,3
13.2,1.9,35017,5.8,18.7,0.56,3.1,102.3,12
18.9,5.9,39305,7.2,18.1,0.76,5,116.6,13
22.2,15.1,43989,13.5,18.5,0.75,6.2,119.6,13
22.9,18.9,52486,16.2,17.6,0.91,9.3,119.6,14
16.2,16,57468,7.6,17.5,0.93,11.1,136.8,15
21.9,16.8,65992,7.1,16.6,0.89,12.3,149,15
-17.4,-12.8,51270,2.9,24.8,0.89,1.6,149.8,15
9.3,-2.2,54411,2.4,24.7,0.78,0.9,152.1,15
20.4,3.1,63626,8.5,22.9,0.95,0.9,159.7,15
6.4,-3.4,31154,-1.7,39.1,1.83,1.2,54,17
5.6,-3.5,36695,-2.1,41,1.9,1.6,53.8,17
5.2,-3.4,38122,-2,42.2,1.75,1.9,56.7,17
5.6,-2.7,40481,-2.9,43.3,1.72,3,60.9,17
5.9,-2.8,46330,-2.2,44.2,1.66,2.1,56.5,17
2,-5,43147,-1,52.7,1.64,3.1,61.9,17
-2.7,-11.4,35331,-1.2,67.8,1.5,2.8,59.1,17
4.6,-10.2,36396,-2.5,79.4,1.56,3.7,63.2,17
3.4,-7.8,38707,-1.3,85.5,1.55,4.2,66.6,17
4.7,-5,38407,-4.7,49.7,1.61,1.9,23.2,17
6.4,-5.2,40482,-5.3,57.4,1.8,3.3,25.1,17
6.5,-4.1,42715,-5.9,57.5,1.57,3.4,26.4,17
6,-2.8,44833,-6,56.6,1.56,2.5,27.7,17
4.9,-2.5,46571,-5.1,56.5,1.59,4.1,28.8,17
1.9,-3.8,46997,-4.7,60.3,1.54,0.1,30.8,17
-2.2,-10.9,45551,-2.7,75,1.4,2.7,25.5,17
3.8,-9.8,46869,-3,83.7,1.44,1.5,29,17
4,-8.9,48383,-3.1,87.8,1.41,3,31.6,17
17.5,-4.3,3646,-0.7,93,0.5,10.2,51.8,2
15.6,-2.4,4145,0,74.9,0.35,7.6,61.5,2
8.2,-1.6,5252,0.2,67.4,0.51,4.9,58.9,2
10.9,-1,5907,-2,61.6,0.39,6.4,62,4
16.6,-1.6,7043,-0.9,52.5,0.5,8.5,59.2,4
15.8,-1.1,9108,-5.7,51.8,0.5,9.2,65.2,4
7.2,-1.5,9037,-1.3,47,0.61,5.9,55.7,5
14.2,-1.2,11573,-1.9,41.4,0.65,6.9,53.6,7
15.1,-0.6,13785,-2.9,40.9,0.58,8.6,54.8,7
24.5,0.4,3246,14.1,46.9,-0.95,27,50.6,1
58.4,2.5,4292,13.8,38.6,-1.02,19,55.4,3
43,4.4,5457,17.5,33.1,-0.9,14.2,60.1,3
29.5,-1.2,6763,14.4,24.1,-1,16.8,58.7,3
25.6,-2.1,8349,6.9,19.1,-1.01,22.4,56.2,3
37,-1.6,11249,10.2,14,-1.06,30.9,51.8,3
4.4,-7.5,11550,0.7,18.2,-0.89,25.1,38.5,3
43.8,-3.6,13587,2.2,18.3,-1.02,27.2,46.1,3
33.5,-4,10752,7.7,25.1,-1.1,27.5,49.6,3
17.3,-4.2,642,-1.1,35.8,-0.2,8.7,143.6,5
16.1,-0.6,731,-0.3,35.2,-0.17,6.6,152.1,5
17.4,-1,843,-9.8,35.9,-0.19,12.6,169.5,5
29.8,-1.9,1070,-11.9,34.5,-0.17,20,168.1,5
11.7,-4.8,1130,-6.8,42.8,-0.29,6.5,139.7,5
19.4,-3.4,1224,-4,44.9,-0.31,11.8,156.9,4
28.1,-4.2,1408,0.2,43.3,-0.28,18.1,173.8,4
